"func","desc"
"lcm","Least common multiple"
"ldivide","Left array division"
"ldl","Block LDL' factorization for Hermitian indefinite matrices"
"le","Determine less than or equal to"
"legend","Add legend to axes"
"legendre","Associated Legendre functions"
"length","Length of largest array dimension"
"length","Length of containers.Map object"
"length (serial)","Length of serial port object array"
"length (tscollection)","Length of time vector"
"lib.pointer","Pointer object compatible with C pointer"
"lib.pointer.disp","Display lib.pointer type"
"lib.pointer.isNull","Points to NULL pointer"
"lib.pointer.plus","+ (plus) operator for pointer arithmetic"
"lib.pointer.reshape","Reshape lib.pointer array"
"lib.pointer.setdatatype","Initialize type and size of lib.pointer object"
"libfunctions","Return information on functions in shared library"
"libfunctionsview","Display shared library function signatures in window"
"libisloaded","Determine if shared library is loaded"
"libpointer","Pointer object for use with shared library"
"libstruct","Convert MATLAB structure to C-style structure foruse with shared library"
"license","Get license number or perform licensing task"
"light","Create light"
"lightangle","Create or position light object in spherical coordinates"
"lighting","Specify lighting algorithm"
"lin2mu","Convert linear audio signal to mu-law"
"line","Create primitive line"
"lines","Lines colormap array"
"LineSpec (Line Specification)","Linespecification"
"linkaxes","Synchronize limits of specified 2-D axes"
"linkdata","Automatically update graphs when variables change"
"linkprop","Keep same value for corresponding properties of graphicsobjects"
"linsolve","Solve linear system of equations"
"linspace","Generate linearly spaced vector"
"listdlg","Create list selection dialog box"
"listfonts","List available system fonts"
"load","Load variables from file into workspace"
"load","Initialize control object from file"
"load (serial)","Load serial port objects and variables into MATLAB workspace"
"loadlibrary","Load C/C++ shared library into MATLAB"
"loadobj","Modify load process for object"
"localfunctions","Function handles to all local functions in MATLAB file"
"log","Natural logarithm"
"log10","Common logarithm (base 10)"
"log1p","Compute log(1+x) accurately for small values of x"
"log2","Base 2 logarithm and dissect floating-point numbers intoexponent and mantissa"
"logical","Convert numeric values to logicals"
"Logical
Operators: Short-circuit","Logical operations with short-circuiting"
"loglog","Log-log scale plot"
"logm","Matrix logarithm"
"logspace","Generate logarithmically spaced vector"
"lookfor","Search for keyword in all help entries"
"lower","Convert string to lowercase"
"ls","List folder contents"
"lscov","Least-squares solution in presence of known covariance"
"lsqnonneg","Solve nonnegative linear least-squares problem"
"lsqr","LSQR method"
"lt","Determine less than"
"lu","LU matrix factorization"
"magic","Magic square"
"makehgtform","Create 4-by-4 transform matrix"
"mapreduce","Programming technique for analyzing data sets that donot fit in memory"
"mapreducer","Define execution environment for mapreduce or tall arrays"
"mat2cell","Convert array to cell array with potentially differentsized cells"
"mat2str","Convert matrix to character vector"
"material","Control reflectance properties of surfaces and patches"
"matfile","Access and change variables directly in MAT-files, withoutloading into memory"
"matlab (Linux)","Start MATLAB program from Linux system prompt"
"matlab (Mac)","Start MATLAB program from Mac Terminal"
"matlab (Windows)","Start MATLAB program from Windows system prompt"
"matlab.addons.toolbox.installedToolboxes","Return information about installed toolboxes"
"matlab.addons.toolbox.installToolbox","Install toolbox file"
"matlab.addons.toolbox.packageToolbox","Package toolbox project"
"matlab.addons.toolbox.toolboxVersion","Query or modify version of toolbox"
"matlab.addons.toolbox.uninstallToolbox","Uninstall toolbox"
"matlab.apputil.create","Create or modify app project file for packaging app into .mlappinstall fileusing interactive dialog box"
"matlab.apputil.getInstalledAppInfo","List installed app information"
"matlab.apputil.install","Install app from a .mlappinstall file"
"matlab.apputil.package","Package app files into .mlappinstall file"
"matlab.apputil.run","Run app programmatically"
"matlab.apputil.uninstall","Uninstall app"
"matlab.codetools.requiredFilesAndProducts","List dependencies of MATLAB program files"
"matlab.engine.connect_matlab","Connect shared MATLAB session to MATLAB Enginefor Python"
"matlab.engine.engineName","Return name of shared MATLAB session"
"matlab.engine.find_matlab","Find shared MATLAB sessions to connect to MATLAB Enginefor Python"
"matlab.engine.FutureResult","Results of asynchronous call to MATLAB function storedin Python object"
"matlab.engine.FutureResult.cancel","Cancel asynchronous call to MATLAB function from Python"
"matlab.engine.FutureResult.cancelled","Cancellation status of asynchronous call to MATLAB functionfrom Python"
"matlab.engine.FutureResult.done","Completion status of asynchronous call to MATLAB functionfrom Python"
"matlab.engine.FutureResult.result","Result of asynchronous call to MATLAB function from Python"
"matlab.engine.isEngineShared","Determine if MATLAB session is shared"
"matlab.engine.MatlabEngine","Python object using MATLAB as computationalengine within Python session"
"matlab.engine.shareEngine","Convert running MATLAB session to shared session"
"matlab.engine.start_matlab","Start MATLAB Engine for Python"
"matlab.exception.JavaException","Capture error information for Java exception"
"matlab.exception.PyException","Capture error information for Python exception"
"matlab.graphics.Graphics","Common base class for graphics objects"
"matlab.graphics.GraphicsPlaceholder","Default graphics object"
"matlab.io.hdf4.sd.attrInfo","Information about attribute"
"matlab.io.hdf4.sd.close","Terminate access to SD interface"
"matlab.io.hdf4.sd.create","Create new data set"
"matlab.io.hdf4.sd.dimInfo","Information about dimension"
"matlab.io.hdf4.sd.endAccess","Terminate access to data set"
"matlab.io.hdf4.sd.fileInfo","Number of data sets and global attributes in file"
"matlab.io.hdf4.sd.findAttr","Index of specified attribute"
"matlab.io.hdf4.sd.getCal","Data set calibration information"
"matlab.io.hdf4.sd.getChunkInfo","Chunk size for data set"
"matlab.io.hdf4.sd.getCompInfo","Information about data set compression"
"matlab.io.hdf4.sd.getDataStrs","Predefined attributes for data set"
"matlab.io.hdf4.sd.getDimID","Dimension identifier"
"matlab.io.hdf4.sd.getDimScale","Scale data for dimension"
"matlab.io.hdf4.sd.getDimStrs","Predefined attributes for dimension"
"matlab.io.hdf4.sd.getFilename","Name of file"
"matlab.io.hdf4.sd.getFillValue","Fill value for data set"
"matlab.io.hdf4.sd.getInfo","Information about data set"
"matlab.io.hdf4.sd.getRange","Maximum and minimum range values"
"matlab.io.hdf4.sd.idToRef","Reference number corresponding to data set identifier"
"matlab.io.hdf4.sd.idType","Type of object"
"matlab.io.hdf4.sd.isCoordVar","Determine if data set is a coordinate variable"
"matlab.io.hdf4.sd.isRecord","Determine if data set is appendable"
"matlab.io.hdf4.sd.nameToIndex","Index value of named data set"
"matlab.io.hdf4.sd.nameToIndices","List of data sets with same name"
"matlab.io.hdf4.sd.readAttr","Read attribute value"
"matlab.io.hdf4.sd.readChunk","Read chunk from data set"
"matlab.io.hdf4.sd.readData","Read subsample of data"
"matlab.io.hdf4.sd.refToIndex","Index of data set corresponding to reference number"
"matlab.io.hdf4.sd.select","Identifier of data set with specified index"
"matlab.io.hdf4.sd.setAttr","Write attribute value"
"matlab.io.hdf4.sd.setCal","Set data set calibration information"
"matlab.io.hdf4.sd.setChunk","Set chunk size and compression method of data set"
"matlab.io.hdf4.sd.setCompress","Set compression method of data set"
"matlab.io.hdf4.sd.setDataStrs","Set predefined attributes for data set"
"matlab.io.hdf4.sd.setDimName","Associate name with dimension"
"matlab.io.hdf4.sd.setDimScale","Set scale values for dimension"
"matlab.io.hdf4.sd.setDimStrs","Set label, unit, and format attributes"
"matlab.io.hdf4.sd.setExternalFile","Store data in external file"
"matlab.io.hdf4.sd.setFillMode","Set current fill mode of file"
"matlab.io.hdf4.sd.setFillValue","Set fill value for data set"
"matlab.io.hdf4.sd.setNBitDataSet","Specify nonstandard bit length for data set values"
"matlab.io.hdf4.sd.setRange","Set maximum and minimum range value for data set"
"matlab.io.hdf4.sd.start","Open HDF file and initialize SD interface"
"matlab.io.hdf4.sd.writeChunk","Write chunk to data set"
"matlab.io.hdf4.sd.writeData","Write to data set"
"matlab.io.hdfeos.gd.attach","Attach to existing grid"
"matlab.io.hdfeos.gd.close","Close HDF-EOS grid file"
"matlab.io.hdfeos.gd.compInfo","Compression information for field"
"matlab.io.hdfeos.gd.create","Create new grid structure"
"matlab.io.hdfeos.gd.defBoxRegion","Define region of interest by latitude and longitude"
"matlab.io.hdfeos.gd.defComp","Set grid field compression"
"matlab.io.hdfeos.gd.defDim","Define new dimension within grid"
"matlab.io.hdfeos.gd.defField","Define new data field within grid"
"matlab.io.hdfeos.gd.defOrigin","Define origin of pixels in grid"
"matlab.io.hdfeos.gd.defPixReg","Define pixel registration within grid"
"matlab.io.hdfeos.gd.defProj","Define grid projection"
"matlab.io.hdfeos.gd.defTile","Define tiling parameters"
"matlab.io.hdfeos.gd.defVrtRegion","Define vertical subset region"
"matlab.io.hdfeos.gd.detach","Detach from existing grid"
"matlab.io.hdfeos.gd.dimInfo","Length of dimension"
"matlab.io.hdfeos.gd.extractRegion","Read region of interest from field"
"matlab.io.hdfeos.gd.fieldInfo","Information about data field"
"matlab.io.hdfeos.gd.getFillValue","Fill value for specified field"
"matlab.io.hdfeos.gd.getPixels","Pixel rows and columns for latitude/longitude pairs"
"matlab.io.hdfeos.gd.getPixValues","Read data values for specified pixels"
"matlab.io.hdfeos.gd.gridInfo","Position and size of grid"
"matlab.io.hdfeos.gd.ij2ll","Convert row and column space to latitude and longitude"
"matlab.io.hdfeos.gd.inqAttrs","Names of grid attributes"
"matlab.io.hdfeos.gd.inqDims","Information about dimensions defined in grid"
"matlab.io.hdfeos.gd.inqFields","Information about data fields defined in grid"
"matlab.io.hdfeos.gd.inqGrid","Names of grids in file"
"matlab.io.hdfeos.gd.interpolate","Bilinear interpolation on a grid field"
"matlab.io.hdfeos.gd.ll2ij","Convert latitude and longitude to row and column space"
"matlab.io.hdfeos.gd.nEntries","Number of specified objects"
"matlab.io.hdfeos.gd.open","Open grid file"
"matlab.io.hdfeos.gd.originInfo","Origin code"
"matlab.io.hdfeos.gd.pixRegInfo","Pixel registration code"
"matlab.io.hdfeos.gd.projInfo","GCTP projection information about grid"
"matlab.io.hdfeos.gd.readAttr","Read grid attribute"
"matlab.io.hdfeos.gd.readBlkSomOffset","Read Block SOM offset"
"matlab.io.hdfeos.gd.readField","Read data from grid field"
"matlab.io.hdfeos.gd.readTile","Read single tile of data from field"
"matlab.io.hdfeos.gd.regionInfo","Information about subsetted region"
"matlab.io.hdfeos.gd.setFillValue","Set fill value for specified field"
"matlab.io.hdfeos.gd.setTileComp","Set tiling and compression for field with fill value"
"matlab.io.hdfeos.gd.sphereCodeToName","Name corresponding to GCTP sphere code"
"matlab.io.hdfeos.gd.sphereNameToCode","Numeric GCTP code corresponding to sphere name"
"matlab.io.hdfeos.gd.tileInfo","Tile size of grid field"
"matlab.io.hdfeos.gd.writeAttr","Write grid attribute"
"matlab.io.hdfeos.gd.writeBlkSomOffset","Write Block SOM offset"
"matlab.io.hdfeos.gd.writeField","Write data to grid field"
"matlab.io.hdfeos.gd.writeTile","Write tile to field"
"matlab.io.hdfeos.sw.attach","Attach to swath data set"
"matlab.io.hdfeos.sw.close","Close swath file"
"matlab.io.hdfeos.sw.compInfo","Compression information for field"
"matlab.io.hdfeos.sw.create","Create new swath structure"
"matlab.io.hdfeos.sw.defBoxRegion","Define latitude-longitude region for swath"
"matlab.io.hdfeos.sw.defComp","Set grid field compression"
"matlab.io.hdfeos.sw.defDataField","Define new data field within swath"
"matlab.io.hdfeos.sw.defDim","Define new dimension within swath"
"matlab.io.hdfeos.sw.defDimMap","Define mapping between geolocation and data dimensions"
"matlab.io.hdfeos.sw.defGeoField","Define new data field within swath"
"matlab.io.hdfeos.sw.defTimePeriod","Define time period of interest"
"matlab.io.hdfeos.sw.defVrtRegion","Subset on monotonic field or dimension"
"matlab.io.hdfeos.sw.detach","Detach from swath"
"matlab.io.hdfeos.sw.dimInfo","Size of dimension"
"matlab.io.hdfeos.sw.extractPeriod","Read data from subsetted time period"
"matlab.io.hdfeos.sw.extractRegion","Read subsetted region"
"matlab.io.hdfeos.sw.fieldInfo","Information about swath field"
"matlab.io.hdfeos.sw.geoMapInfo","Type of dimension mapping for named dimension"
"matlab.io.hdfeos.sw.getFillValue","Fill value for specified field"
"matlab.io.hdfeos.sw.idxMapInfo","Indexed array of geolocation mapping"
"matlab.io.hdfeos.sw.inqAttrs","Names of swath attributes"
"matlab.io.hdfeos.sw.inqDataFields","Information about geolocation fields"
"matlab.io.hdfeos.sw.inqDims","Information about dimensions defined in swath"
"matlab.io.hdfeos.sw.inqGeoFields","Information about geolocation fields"
"matlab.io.hdfeos.sw.inqIdxMaps","Information about swath indexed geolocation mapping"
"matlab.io.hdfeos.sw.inqMaps","Information about swath geolocation relations"
"matlab.io.hdfeos.sw.inqSwath","Names of swaths in file"
"matlab.io.hdfeos.sw.mapInfo","Offset and increment of specific geolocation mapping"
"matlab.io.hdfeos.sw.nEntries","Number of entries for specific type"
"matlab.io.hdfeos.sw.open","Open swath file"
"matlab.io.hdfeos.sw.periodInfo","Information about subsetted period"
"matlab.io.hdfeos.sw.readAttr","Read swath attribute"
"matlab.io.hdfeos.sw.readField","Read data from swath field"
"matlab.io.hdfeos.sw.regionInfo","Information about subsetted region"
"matlab.io.hdfeos.sw.setFillValue","Set fill value for the specified field"
"matlab.io.hdfeos.sw.writeAttr","Write swath attribute"
"matlab.io.hdfeos.sw.writeField","Write data to swath field"
"matlab.io.MatFile","Load and save parts of variables in MAT-files"
"matlab.io.MatFile.size","Array dimensions"
"matlab.io.MatFile.who","Names of variables in MAT-file"
"matlab.io.MatFile.whos","Names, sizes, and types of variables in MAT-file"
"matlab.io.saveVariablesToScript","Save workspace variables to MATLAB script"
"matlab.lang.makeUniqueStrings","Construct unique strings from input strings"
"matlab.lang.makeValidName","Construct valid MATLAB identifiers from input strings"
"matlab.lang.OnOffSwitchState","Represent on and off states with logical values"
"matlab.mixin.Copyable","Superclass providing copy functionality for handle objects"
"matlab.mixin.CustomDisplay","Interface for customizing object display"
"matlab.mixin.Heterogeneous","Superclass for heterogeneousarray formation"
"matlab.mixin.SetGet","Provide handle classes with set and get methods"
"matlab.mixin.SetGetExactNames","Require exact name matchfor set and get methods"
"matlab.mixin.util.PropertyGroup","Custom property list for object display"
"matlab.mock.actions.AssignOutputs","Define return values for method called or property accessed"
"matlab.mock.actions.ReturnStoredValue","Return stored property value"
"matlab.mock.actions.StoreValue","Store property value"
"matlab.mock.actions.ThrowException","Throw exception when method is called or when propertyis set or accessed"
"matlab.mock.AnyArguments","Match any number of arguments"
"matlab.mock.constraints.WasAccessed","Constraint determining property get access"
"matlab.mock.constraints.WasCalled","Constraint determining method call"
"matlab.mock.constraints.WasSet","Constraint determining property set interaction"
"matlab.mock.MethodCallBehavior","Specify mock object method behavior and qualify methodcalls"
"matlab.mock.PropertyBehavior","Specify mock object property behavior and qualify interactions"
"matlab.mock.PropertyGetBehavior","Specify mock property get behavior"
"matlab.mock.PropertySetBehavior","Specify mock object set behavior"
"matlab.mock.TestCase","TestCase to write tests with mockingframework"
"matlab.net.ArrayFormat","Convert arrays in HTTP queries"
"matlab.net.base64decode","Base 64 decoding of string"
"matlab.net.base64encode","Base 64 encoding of byte string or vector"
"matlab.net.http.AuthenticationScheme","HTTP Authentication scheme"
"matlab.net.http.AuthInfo","Authentication or authorization information in HTTP messages"
"matlab.net.http.AuthInfo.getParameter","Return value of AuthInfo parameter"
"matlab.net.http.AuthInfo.removeParameter","Remove AuthInfo parameter"
"matlab.net.http.AuthInfo.setParameter","Set value of AuthInfo parameter"
"matlab.net.http.Cookie","HTTP cookie received from server"
"matlab.net.http.CookieInfo","HTTP cookie information"
"matlab.net.http.CookieInfo.collectFromLog","Latest CookieInfo objects from HTTP response message history"
"matlab.net.http.Credentials","Credentials for authenticating HTTP requests"
"matlab.net.http.Disposition","Results in HTTP log record"
"matlab.net.http.field.AcceptField","HTTP Accept header field"
"matlab.net.http.field.AuthenticateField","HTTP WWW-Authenticate or Proxy-Authenticate header field"
"matlab.net.http.field.AuthenticationInfoField","HTTP Authentication-Info header field in response message"
"matlab.net.http.field.AuthorizationField","HTTP Authorization or Proxy-Authorization header field"
"matlab.net.http.field.ContentLengthField","HTTP Content-Length field"
"matlab.net.http.field.ContentLocationField","HTTP Content-Location header field"
"matlab.net.http.field.ContentTypeField","HTTP Content-Type header field"
"matlab.net.http.field.CookieField","HTTP Cookie header field"
"matlab.net.http.field.DateField","HTTP Date header field"
"matlab.net.http.field.DateField.convert","Return value of field as array of MATLAB datetime objects"
"matlab.net.http.field.GenericField","HTTP header field with any name and value"
"matlab.net.http.field.HTTPDateField","HTTP header field containing date"
"matlab.net.http.field.IntegerField","Base class for HTTP header fields containing nonnegativeintegers"
"matlab.net.http.field.LocationField","HTTP Location header field"
"matlab.net.http.field.MediaRangeField","Base class for HTTP Content-Type and Accept header fields"
"matlab.net.http.field.SetCookieField","HTTP Set-Cookie header field"
"matlab.net.http.field.SetCookieField.convert","Returns CookieInfo object for each Set-Cookie field"
"matlab.net.http.field.URIReferenceField","Base class for HTTP header fields containing URI components"
"matlab.net.http.HeaderField","Header field of HTTP message"
"matlab.net.http.HeaderField.char","Return header fields as formatted character vector"
"matlab.net.http.HeaderField.convert","Convert header field value to MATLAB type"
"matlab.net.http.HeaderField.convertLike","Convert header field value like another header field"
"matlab.net.http.HeaderField.displaySubclasses","Display supported HeaderField subclasses"
"matlab.net.http.HeaderField.eq","Compare two HeaderField arrays"
"matlab.net.http.HeaderField.isequal","Compare two HeaderField arrays"
"matlab.net.http.HeaderField.parse","Parse header field value and return as strings"
"matlab.net.http.HeaderField.string","Return header fields as formatted string"
"matlab.net.http.HTTPException","Exception thrown by HTTP services"
"matlab.net.http.HTTPOptions","Options controlling HTTP message exchange"
"matlab.net.http.LogRecord","HTTP history log record"
"matlab.net.http.LogRecord.show","Display or return human-readable version of vector ofLogRecords"
"matlab.net.http.MediaType","Internet media type used in HTTP headers"
"matlab.net.http.MediaType.getParameter","Value of media type parameter"
"matlab.net.http.MediaType.setParameter","Set value of media type parameter"
"matlab.net.http.Message","HTTP request or response message"
"matlab.net.http.Message.addFields","Add fields to message header"
"matlab.net.http.Message.changeFields","Change existing fields in message header"
"matlab.net.http.Message.char","Return message as character vector"
"matlab.net.http.Message.getFields","Return message header fields matching name or class"
"matlab.net.http.Message.removeFields","Remove fields from message header"
"matlab.net.http.Message.show","Display or return formatted version of message"
"matlab.net.http.Message.string","Return message as string"
"matlab.net.http.MessageBody","Body of HTTP message"
"matlab.net.http.MessageBody.char","Return message body as character vector"
"matlab.net.http.MessageBody.show","Display or return formatted version of message body data"
"matlab.net.http.MessageBody.string","Return message body as string"
"matlab.net.http.MessageType","HTTP message type"
"matlab.net.http.ProgressMonitor","Progress monitor for HTTP message exchange"
"matlab.net.http.ProgressMonitor.done","Indicate all message transfers completed"
"matlab.net.http.ProtocolVersion","HTTP protocol version"
"matlab.net.http.RequestLine","First line of HTTP request message"
"matlab.net.http.RequestMessage","HTTP request message"
"matlab.net.http.RequestMessage.complete","Validate and complete HTTP request message without sending"
"matlab.net.http.RequestMessage.send","Send HTTP request message and receive response"
"matlab.net.http.RequestMethod","HTTP request method"
"matlab.net.http.ResponseMessage","HTTP response message"
"matlab.net.http.ResponseMessage.complete","Process or reprocess response payload Content-Type"
"matlab.net.http.StartLine","First line of HTTP message"
"matlab.net.http.StatusClass","Status class of HTTP response"
"matlab.net.http.StatusClass.getReasonPhrase","StatusClass name as text phrase"
"matlab.net.http.StatusCode","Status code in HTTP response"
"matlab.net.http.StatusCode.fromValue","Create StatusCode object from string or number"
"matlab.net.http.StatusCode.getClass","StatusClass for StatusCode"
"matlab.net.http.StatusCode.getReasonPhrase","StatusCode identifier as text phrase"
"matlab.net.http.StatusLine","First line of HTTP response message"
"matlab.net.QueryParameter","Parameter in query portion of uniform resource identifier(URI)"
"matlab.net.QueryParameter.char","Encoded query parameter as character vector"
"matlab.net.QueryParameter.string","Encoded query parameter as string"
"matlab.net.URI","Uniform resource identifier (URI)"
"matlab.perftest.FixedTimeExperiment","TimeExperiment that collects fixednumber of measurements"
"matlab.perftest.FrequentistTimeExperiment","TimeExperiment that collects variablenumber of measurements"
"matlab.perftest.TestCase","Superclass of matlab.perftest performancetest classes"
"matlab.perftest.TimeExperiment","Interface for measuring execution time of code under test"
"matlab.System","Base class for System objects"
"matlab.system.mixin.FiniteSource","Finite source mixin class"
"matlab.system.StringSet","Set of valid character vector values"
"matlab.unittest.constraints.BooleanConstraint","Interface class for boolean combinations of constraints"
"matlab.unittest.constraints.Constraint","Fundamental interface class for comparisons"
"matlab.unittest.constraints.Tolerance","Abstract interface class for tolerances"
"matlab.unittest.diagnostics.ConstraintDiagnostic","Diagnostics specific to matlab.unittest constraints"
"matlab.unittest.diagnostics.Diagnostic","Fundamental interface class for matlab.unittest diagnostics"
"matlab.unittest.fixtures.Fixture","Interface class for test fixtures"
"matlab.unittest.measurement.MeasurementResult","Result of measuring test suite"
"matlab.unittest.plugins.OutputStream","Interface that determines where to send text output"
"matlab.unittest.plugins.QualifyingPlugin","Interface for plugins that perform system-wide qualifications"
"matlab.unittest.plugins.TestRunnerPlugin","Plugin interface for extending TestRunner"
"matlab.unittest.Test","Specification of a single test method"
"matlab.unittest.TestCase","Superclass of all matlab.unittest testclasses"
"matlab.unittest.TestResult","Result of running test suite"
"matlab.unittest.TestRunner","Class for running tests in matlab.unittest framework"
"matlab.unittest.TestRunner.run","Run all tests in TestSuite array"
"matlab.unittest.TestSuite","Class for grouping tests to run"
"matlab.unittest.TestSuite.run","Run TestSuite array using TestRunner objectconfigured for text output"
"matlab.wsdl.createWSDLClient","Create interface to SOAP-based web service"
"matlab.wsdl.setWSDLToolPath","Location of WSDL tools"
"matlabrc","Start up file for MATLAB program"
"matlabroot","Root folder"
"matlabshared.supportpkg.checkForUpdate","List of support packages that can be updated (Not recommended)"
"matlabshared.supportpkg.getInstalled","List of installed support packages"
"matlabshared.supportpkg.getSupportPackageRoot","Get root folder of support packages"
"matlabshared.supportpkg.setSupportPackageRoot","Set root folder of support packages"
"max","Maximum value of timeseries data"
"max","Largest elements in array"
"maxflow","Maximum flow in graph"
"MaximizeCommandWindow","Open Automation server window"
"maxNumCompThreads","Control maximum number of computational threads"
"mean","Mean value of timeseries data"
"mean","Average or mean value of array"
"median","Median value of timeseries data"
"median","Median value of array"
"memmapfile","Create memory map to a file"
"memoize","Add memoization semantics to function handle"
"MemoizedFunction","Call memoized function and cache results"
"memory","Display memory information"
"menu","(Not recommended) Create multiple-choice dialog box"
"mergecats","Merge categories in categorical array"
"mesh","Mesh plot"
"meshc","Plot a contour graph under mesh graph"
"meshgrid","2-D and 3-D grids"
"meshz","Plot a curtain around mesh plot"
"meta.abstractDetails","Find abstract methods and properties"
"meta.class","Describe MATLAB class"
"meta.class.fromName","Return meta.class object associatedwith named class"
"meta.DynamicProperty","Describe dynamic property of MATLAB object"
"meta.EnumeratedValue","Describe enumeration member of MATLAB class"
"meta.event","Describe event of MATLAB class"
"meta.MetaData","Superclass for MATLAB object metadata"
"meta.method","Describe method of MATLAB class"
"meta.package","Describe MATLAB package"
"meta.package.fromName","Return meta.package object for specifiedpackage"
"meta.package.getAllPackages","Get all top-level packages"
"meta.property","Describe property of MATLAB class"
"metaclass","Obtain meta.class object"
"methods","Class method names"
"methodsview","View class methods"
"mex","Build MEX function from C/C++ or Fortran source code"
"mex.getCompilerConfigurations","Get compiler configuration information for building MEXfiles"
"MException","Capture error information"
"mexext","Binary MEX file-name extension"
"mfilename","File name of currently running code"
"mget","Download files from FTP server"
"milliseconds","Duration in milliseconds"
"min","Minimum value of timeseries data"
"min","Smallest elements in array"
"MinimizeCommandWindow","Minimize size of Automation server window"
"minres","Minimum residual method"
"minspantree","Minimum spanning tree of graph"
"minus","Subtraction"
"minute","Minute number"
"minutes","Duration in minutes"
"mislocked","Determine if function is locked in memory"
"missing","Create missing values"
"mkdir","Create folder on FTP server"
"mkdir","Make new folder"
"mkpp","Make piecewise polynomial"
"mldivide","Solve systems of linear equations Ax = B for x"
"mlint","Check MATLAB code files for possible problems"
"mlintrpt","Run checkcode for file or folder"
"mlock","Prevent clearing function from memory"
"mmfileinfo","Information about multimedia file"
"mod","Remainder after division (modulo operation)"
"mode","Most frequent values in array"
"month","Month number and name"
"more","Control paged output for Command Window"
"morebins","Increase number of histogram bins"
"movAbsHDU","Move to absolute HDU number"
"move","Move or resize control in parent window"
"movefile","Move file or folder"
"movegui","Move UI figure to specified location on screen"
"movie","Play recorded movie frames"
"movmad","Moving median absolute deviation"
"movmax","Moving maximum"
"movmean","Moving mean"
"movmedian","Moving median"
"movmin","Moving minimum"
"movNamHDU","Move to first HDU having specific type and keyword values"
"movprod","Moving product"
"movRelHDU","Move relative number of HDUs from current HDU"
"movstd","Moving standard deviation"
"movsum","Moving sum"
"movvar","Moving variance"
"mpower","Matrix power"
"mput","Upload file or folder to FTP server"
"mrdivide","Solve systems of linear equations xA = B for x"
"msgbox","Create message dialog box"
"mtimes","Matrix Multiplication"
"mu2lin","Convert mu-law audio signal to linear"
"multibandread","Read band-interleaved data from binary file"
"multibandwrite","Write band-interleaved data to file"
"munlock","Allow clearing functions from memory"
"mustBeFinite","Validate that value is finite or issue error"
"mustBeGreaterThan","Validate that value is greater than another value or issueerror"
"mustBeGreaterThanOrEqual","Validate that value is greater than or equal to anothervalue or issue error"
"mustBeInteger","Validate that value is integer or issue error"
"mustBeLessThan","Validate that value is less than another value or issueerror"
"mustBeLessThanOrEqual","Validate that value is less than or equal to another valueor issue error"
"mustBeMember","Validate that value is member of specified set"
"mustBeNegative","Validate that value is negative or issue error"
"mustBeNonempty","Validate that value is nonempty or issue error"
"mustBeNonNan","Validate that value is nonNaN"
"mustBeNonnegative","Validate that value is nonnegative or issue error"
"mustBeNonpositive","Validate that value is nonpositive or issue error"
"mustBeNonsparse","Validate that value is nonsparse or issue error"
"mustBeNonzero","Validate that value is nonzero or issue error"
"mustBeNumeric","Validate that value is numeric or issue error"
"mustBeNumericOrLogical","Validate that value is numeric or logical or issue error"
"mustBePositive","Validate that value is positive or issue error"
"mustBeReal","Validate that value is real or issue error"
"namelengthmax","Maximum identifier length"
"NaN","Not-a-Number"
"nargchk","Validate number of input arguments"
"nargin","Number of function input arguments"
"narginchk","Validate number of input arguments"
"nargout","Number of function output arguments"
"nargoutchk","Validate number of output arguments"
"NaT","Not-a-Time"
"native2unicode","Convert numeric bytes to Unicode character representation"
"nccreate","Create variable in NetCDF file"
"ncdisp","Display contents of NetCDF data source in Command Window"
"nchoosek","Binomial coefficient or all combinations"
"ncinfo","Return information aboutNetCDF data source"
"ncread","Read data from variablein NetCDF data source"
"ncreadatt","Read attribute valuefrom NetCDF data source"
"ncwrite","Write data to NetCDFfile"
"ncwriteatt","Write attribute to NetCDF file"
"ncwriteschema","Add NetCDF schema definitions to NetCDF file"
"ndgrid","Rectangular grid in N-D space"
"ndims","Number of array dimensions"
"ne","Determine inequality"
"nearest","Nearest neighbors within radius"
"nearestNeighbor","Vertex closest to specified location"
"nearestNeighbor","(Not recommended) Point closest to specified location"
"nearestNeighbor","Determine nearest alpha shape boundary point"
"neighbors","Neighbors of graph node"
"neighbors","Neighbors to specified triangle or tetrahedron"
"neighbors","(Not recommended) Simplex neighbor information"
"NET","Summary of functions in MATLAB .NET interface"
"NET.addAssembly","Make .NET assembly visible to MATLAB"
"NET.Assembly","Members of .NET assembly"
"NET.convertArray","Convert numeric MATLAB array to .NET array"
"NET.createArray","Array for nonprimitive .NET types"
"NET.createGeneric","Create instance of specialized .NET generic type"
"NET.disableAutoRelease","Lock .NET object representing a RunTime Callable Wrapper(COM Wrapper) so that MATLAB does not release COM object"
"NET.enableAutoRelease","Unlock .NET object representing a RunTime Callable Wrapper(COM Wrapper) so that MATLAB releases COM object"
"NET.GenericClass","Represent parameterized generic type definitions"
"NET.invokeGenericMethod","Invoke generic method of object"
"NET.isNETSupported","Check for supported Microsoft .NET Framework"
"NET.NetException","Capture error information for .NET exception"
"NET.setStaticProperty","Static property or field name"
"netcdf.abort","Revert recent netCDF file definitions"
"netcdf.close","Close netCDF file"
"netcdf.copyAtt","Copy attribute to new location"
"netcdf.create","Create new NetCDF dataset"
"netcdf.defDim","Create netCDF dimension"
